Stadium,Founded,TeamID,TeamName,Manager
Emirates Stadium,1886,ARS,Arsenal,Mikel Arteta
Villa Park,1874,AVL,Aston Villa,Unai Emery
Amex Stadium,1901,BHA,Brighton & Hove Albion,Fabian Hürzeler
Vitality Stadium,1899,BOU,AFC Bournemouth,Andoni Iraola
Gtech Community Stadium,1889,BRE,Brentford,Keith Andrews
Turf Moor,1882,BUR,Burnley,Scott Parker
Stamford Bridge,1905,CHE,Chelsea,Enzo Maresca
Selhurst Park,1905,CRY,Crystal Palace,Oliver Glasner
Goodison Park,1878,EVE,Everton,David Moyes
Craven Cottage,1879,FUL,Fulham,Marco Silva
Elland Road,1919,LEE,Leeds United,Daniel Farke
Anfield,1892,LFC,Liverpool,Arne Slot
Etihad Stadium,1880,MCI,Manchester City,Pep Guardiola
Old Trafford,1878,MUN,Manchester United,Rúben Amorim
St James' Park,1892,NEW,Newcastle United,Eddie Howe
City Ground,1865,NFO,Nottingham Forest,
Stadium of Light,1879,SUN,Sunderland,Regis Le Bris
Tottenham Hotspur Stadium,1882,TOT,Tottenham Hotspur,Thomas Frank
London Stadium,1895,WHU,West Ham United,Nuno Espírito Santo
Molineux Stadium,1877,WOL,Wolverhampton Wanderers,Vítor Pereira